"Level","Accumulated Ad LTV","Banner Ad LTV","Interstitial Ad LTV","Rewarded Ad LTV","App Open Ad LTV","MREC Ad LTV","Rewarded Interstitial Ad LTV","Native Ads Ad LTV","Audio Ads Ad LTV","Collapsible Banner Ad LTV","In-game Ad LTV","RPM (eCPM)","Ad LTV","Banner Impressions per User","Accumulated Banner LTV","Accumulated Banner Impressions per User","Accumulated Banner Impressions","Banner Revenue per User","Banner Impressions","Banner Engaged Users","Banner RPM (eCPM)","Interstitial Impressions per User","Accumulated Interstitial LTV","Accumulated Interstitial Impressions per User","Accumulated Interstitial Impressions","Interstitial Revenue per User","Interstitial Impressions","Interstitial Engaged Users","Interstitial RPM (eCPM)","Rewarded Impressions per User","Accumulated Rewarded LTV","Accumulated Rewarded Impressions per User","Accumulated Rewarded Impressions","Rewarded Revenue per User","Rewarded Impressions","Rewarded Engaged Users","Rewarded RPM (eCPM)","App Open Impressions per User","Accumulated App Open LTV","Accumulated App Open Impressions per User","Accumulated App Open Impressions","App Open Revenue per User","App Open Impressions","App Open Engaged Users","App Open RPM (eCPM)","MREC Impressions per User","Accumulated MREC LTV","Accumulated MREC Impressions per User","Accumulated MREC Impressions","MREC Revenue per User","MREC Impressions","MREC Engaged Users","MREC RPM (eCPM)","Rewarded Interstitial Impressions per User","Accumulated Rewarded Interstitial LTV","Accumulated Rewarded Interstitial Impressions per User","Accumulated Rewarded Interstitial Impressions","Rewarded Interstitial Revenue per User","Rewarded Interstitial Impressions","Rewarded Interstitial Engaged Users","Rewarded Interstitial RPM (eCPM)","Native Ads Impressions per User","Accumulated Native Ads LTV","Accumulated Native Ads Impressions per User","Accumulated Native Ads Impressions","Native Ads Revenue per User","Native Ads Impressions","Native Ads Engaged Users","Native Ads RPM (eCPM)","Audio Ads Impressions per User","Accumulated Audio Ads LTV","Accumulated Audio Ads Impressions per User","Accumulated Audio Ads Impressions","Audio Ads Revenue per User","Audio Ads Impressions","Audio Ads Engaged Users","Audio Ads RPM (eCPM)","Collapsible Banner Impressions per User","Accumulated Collapsible Banner LTV","Accumulated Collapsible Banner Impressions per User","Accumulated Collapsible Banner Impressions","Collapsible Banner Revenue per User","Collapsible Banner Impressions","Collapsible Banner Engaged Users","Collapsible Banner RPM (eCPM)","In-game Impressions per User","Accumulated In-game LTV","Accumulated In-game Impressions per User","Accumulated In-game Impressions","In-game Revenue per User","In-game Impressions","In-game Engaged Users","In-game RPM (eCPM)"
"11","$0.32","$0.006","$0.024","$0.016","","","","","","","","$2.74","$0.046","19.19","$0.041","82.15","179,500","$0.008","21,740","1,133","$0.407","1.19","$0.171","5.79","12,650","$0.03","1,363","1,146","$24.887","1.47","$0.108","2.43","5,318","$0.048","684","464","$32.759","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","$0.349","$0.006","$0.024","$0.016","","","","","","","","$2.686","$0.046","19.67","$0.045","91.91","200,818","$0.008","21,318","1,084","$0.391","1.17","$0.186","6.38","13,948","$0.03","1,298","1,108","$25.221","1.45","$0.118","2.71","5,932","$0.051","614","422","$34.726","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","$0.372","$0.005","$0.022","$0.013","","","","","","","","$2.946","$0.039","15.04","$0.047","99.09","216,503","$0.006","15,685","1,043","$0.378","1.17","$0.199","6.96","15,211","$0.027","1,263","1,080","$22.872","1.32","$0.125","2.94","6,422","$0.044","490","372","$33.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","$0.397","$0.006","$0.021","$0.015","","","","","","","","$2.428","$0.042","20.16","$0.051","108.42","236,889","$0.008","20,386","1,011","$0.387","1.21","$0.212","7.54","16,472","$0.026","1,261","1,043","$21.593","1.39","$0.134","3.17","6,930","$0.051","508","366","$36.763","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","$0.419","$0.006","$0.019","$0.015","","","","","","","","$2.416","$0.04","19.07","$0.054","116.99","255,631","$0.007","18,742","983","$0.367","1.14","$0.223","8.07","17,631","$0.024","1,159","1,013","$20.612","1.37","$0.142","3.37","7,374","$0.057","444","325","$41.426","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","$0.441","$0.006","$0.019","$0.015","","","","","","","","$2.243","$0.039","20.39","$0.057","125.83","274,943","$0.007","19,312","947","$0.354","1.19","$0.233","8.6","18,782","$0.023","1,151","968","$19.653","1.52","$0.15","3.61","7,885","$0.052","511","337","$34.423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","$0.46","$0.005","$0.019","$0.013","","","","","","","","$2.162","$0.037","19.82","$0.06","134.16","293,134","$0.007","18,191","918","$0.344","1.2","$0.243","9.11","19,914","$0.023","1,132","940","$19.117","1.53","$0.157","3.86","8,436","$0.042","551","360","$27.338","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","$0.484","$0.005","$0.019","$0.022","","","","","","","","$2.665","$0.046","19.67","$0.063","142.14","310,585","$0.007","17,451","887","$0.337","1.23","$0.253","9.64","21,053","$0.023","1,139","925","$18.837","1.71","$0.168","4.23","9,246","$0.052","810","473","$30.077","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","$0.503","$0.006","$0.016","$0.017","","","","","","","","$2.038","$0.039","22.12","$0.066","150.85","329,605","$0.007","19,020","860","$0.336","1.18","$0.261","10.11","22,092","$0.02","1,039","881","$16.896","1.59","$0.177","4.51","9,851","$0.048","605","381","$30.032","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","$0.546","$0.01","$0.022","$0.055","","","","","","","","$2.778","$0.087","35.08","$0.071","164.66","359,775","$0.013","30,170","860","$0.365","1.49","$0.272","10.72","23,426","$0.026","1,334","896","$17.23","2.54","$0.203","5.32","11,624","$0.084","1,773","698","$32.959","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","$0.568","$0.008","$0.019","$0.022","","","","","","","","$2.1","$0.049","27.13","$0.074","174.37","380,994","$0.01","21,219","782","$0.358","1.25","$0.28","11.19","24,457","$0.023","1,031","824","$18.104","1.61","$0.213","5.65","12,346","$0.049","722","448","$30.469","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","$0.586","$0.007","$0.018","$0.016","","","","","","","","$1.776","$0.041","27.51","$0.077","183.79","401,575","$0.009","20,581","748","$0.343","1.28","$0.288","11.64","25,436","$0.022","979","767","$17.377","1.6","$0.22","5.9","12,881","$0.045","535","335","$28.376","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","$0.601","$0.006","$0.017","$0.014","","","","","","","","$1.969","$0.037","22.07","$0.08","191.11","417,573","$0.007","15,998","725","$0.334","1.25","$0.295","12.07","26,376","$0.021","940","754","$16.717","1.58","$0.226","6.12","13,366","$0.043","485","307","$27.322","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","$0.617","$0.007","$0.016","$0.017","","","","","","","","$1.723","$0.039","26.93","$0.083","199.72","436,397","$0.008","18,824","699","$0.315","1.23","$0.302","12.48","27,268","$0.02","892","725","$16.029","1.71","$0.233","6.37","13,917","$0.046","551","323","$26.675","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","$0.652","$0.013","$0.027","$0.047","","","","","","","","$2.044","$0.087","47.8","$0.087","215.21","470,242","$0.015","33,845","708","$0.321","1.67","$0.312","13.04","28,489","$0.032","1,221","729","$18.855","2.47","$0.252","7.06","15,424","$0.067","1,507","609","$27.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","$0.668","$0.007","$0.016","$0.02","","","","","","","","$1.815","$0.043","27.63","$0.09","223.36","488,033","$0.009","17,791","644","$0.317","1.27","$0.318","13.43","29,348","$0.02","859","678","$15.623","1.61","$0.259","7.34","16,038","$0.042","614","381","$25.883","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","$0.682","$0.007","$0.015","$0.018","","","","","","","","$1.686","$0.04","27.3","$0.092","231.2","505,178","$0.008","17,145","628","$0.303","1.25","$0.324","13.79","30,140","$0.019","792","632","$15.346","1.62","$0.266","7.6","16,605","$0.04","567","349","$24.408","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","$0.697","$0.008","$0.016","$0.02","","","","","","","","$1.647","$0.044","30.83","$0.095","239.73","523,800","$0.009","18,622","604","$0.307","1.33","$0.329","14.17","30,969","$0.019","829","622","$14.609","1.82","$0.273","7.91","17,288","$0.041","683","375","$22.447","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","$0.71","$0.006","$0.016","$0.018","","","","","","","","$1.805","$0.04","25.61","$0.097","246.54","538,680","$0.008","14,880","581","$0.307","1.28","$0.335","14.52","31,725","$0.019","756","591","$14.94","1.71","$0.279","8.14","17,794","$0.045","506","296","$26.231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","$0.725","$0.01","$0.017","$0.019","","","","","","","","$1.562","$0.046","33.66","$0.1","255.45","558,169","$0.012","19,489","579","$0.357","1.36","$0.34","14.89","32,529","$0.02","804","593","$14.712","1.86","$0.285","8.42","18,407","$0.042","613","329","$22.627","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31","$0.746","$0.008","$0.026","$0.032","","","","","","","","$2.258","$0.066","33.05","$0.103","264.05","576,943","$0.01","18,774","568","$0.311","1.52","$0.348","15.29","33,412","$0.032","883","581","$20.837","1.89","$0.295","8.81","19,251","$0.049","844","447","$26.134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","$0.758","$0.006","$0.017","$0.014","","","","","","","","$1.754","$0.037","24.46","$0.105","269.96","589,856","$0.007","12,913","528","$0.297","1.3","$0.354","15.62","34,128","$0.021","716","551","$15.823","1.77","$0.299","9.02","19,698","$0.038","447","253","$21.313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","$0.775","$0.008","$0.018","$0.031","","","","","","","","$2.141","$0.057","30.21","$0.107","277.1","605,472","$0.01","15,616","517","$0.319","1.35","$0.359","15.95","34,852","$0.021","724","535","$15.807","2.01","$0.309","9.38","20,486","$0.052","788","392","$25.695","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","$0.784","$0.006","$0.014","$0.013","","","","","","","","$1.391","$0.033","28.03","$0.109","283.45","619,345","$0.008","13,873","495","$0.285","1.32","$0.363","16.25","35,515","$0.018","663","504","$13.451","1.57","$0.312","9.56","20,886","$0.031","400","255","$19.795","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","$0.8","$0.009","$0.017","$0.031","","","","","","","","$1.582","$0.056","42.13","$0.111","292.73","639,610","$0.012","20,265","481","$0.274","1.37","$0.368","16.58","36,232","$0.02","717","522","$14.242","2.17","$0.321","9.93","21,690","$0.051","804","370","$23.269","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","$0.809","$0.006","$0.014","$0.015","","","","","","","","$1.507","$0.035","27.6","$0.113","298.59","652,415","$0.008","12,805","464","$0.279","1.27","$0.371","16.86","36,844","$0.017","612","481","$13.56","1.49","$0.325","10.11","22,080","$0.034","390","261","$22.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","$0.825","$0.01","$0.019","$0.03","","","","","","","","$1.54","$0.058","44.29","$0.116","307.97","672,922","$0.012","20,507","463","$0.271","1.63","$0.376","17.22","37,626","$0.023","782","480","$13.996","2","$0.333","10.48","22,892","$0.043","812","405","$21.582","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","$0.832","$0.005","$0.013","$0.011","","","","","","","","$1.377","$0.029","24.96","$0.117","313.07","684,055","$0.007","11,133","446","$0.269","1.27","$0.38","17.48","38,202","$0.016","576","453","$12.496","1.44","$0.336","10.61","23,178","$0.032","286","199","$22.133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","$0.846","$0.008","$0.016","$0.03","","","","","","","","$1.793","$0.054","34.69","$0.119","320.15","699,528","$0.01","15,473","446","$0.276","1.46","$0.384","17.78","38,857","$0.02","655","449","$13.853","1.89","$0.344","10.93","23,889","$0.045","711","377","$23.691","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","$0.856","$0.007","$0.014","$0.016","","","","","","","","$1.344","$0.037","33.47","$0.121","326.71","713,855","$0.009","14,327","428","$0.263","1.32","$0.387","18.05","39,436","$0.018","579","438","$13.693","1.72","$0.348","11.14","24,344","$0.034","455","264","$19.652","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","$0.871","$0.011","$0.019","$0.031","","","","","","","","$1.438","$0.06","49.97","$0.123","336.4","735,042","$0.013","21,187","424","$0.27","1.64","$0.392","18.39","40,175","$0.023","739","451","$14.093","2.48","$0.355","11.54","25,213","$0.048","869","350","$19.166","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","$0.881","$0.006","$0.015","$0.021","","","","","","","","$1.585","$0.043","32.03","$0.125","342.34","748,015","$0.008","12,973","405","$0.261","1.38","$0.396","18.66","40,772","$0.019","597","432","$13.394","2.06","$0.36","11.81","25,801","$0.039","588","286","$18.813","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","$0.894","$0.01","$0.019","$0.027","","","","","","","","$1.37","$0.056","47.67","$0.127","351.16","767,274","$0.012","19,259","404","$0.261","1.53","$0.4","18.96","41,418","$0.023","646","421","$14.781","2.17","$0.367","12.12","26,480","$0.044","679","313","$20.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","$0.91","$0.009","$0.02","$0.042","","","","","","","","$1.934","$0.071","42.64","$0.129","358.77","783,905","$0.011","16,631","390","$0.257","1.69","$0.405","19.28","42,132","$0.024","714","422","$14.143","2.38","$0.376","12.55","27,429","$0.053","949","399","$22.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","$0.92","$0.007","$0.016","$0.021","","","","","","","","$1.412","$0.045","37.03","$0.131","365.1","797,754","$0.009","13,849","374","$0.252","1.39","$0.408","19.54","42,686","$0.02","554","399","$14.121","1.93","$0.381","12.82","28,015","$0.033","586","303","$16.809","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","$0.927","$0.005","$0.014","$0.013","","","","","","","","$1.37","$0.032","27.74","$0.132","369.71","807,825","$0.007","10,071","363","$0.236","1.29","$0.411","19.76","43,184","$0.017","498","385","$12.931","1.59","$0.384","12.98","28,361","$0.028","346","217","$17.737","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","$0.948","$0.013","$0.023","$0.066","","","","","","","","$1.962","$0.102","59.07","$0.134","379.72","829,681","$0.016","21,856","370","$0.273","2.14","$0.416","20.14","44,002","$0.028","818","383","$13.011","3.39","$0.398","13.61","29,737","$0.075","1,376","406","$22.224","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","$0.958","$0.009","$0.017","$0.021","","","","","","","","$1.219","$0.048","46.6","$0.136","387.12","845,852","$0.012","16,171","347","$0.255","1.52","$0.42","20.39","44,560","$0.021","558","367","$13.59","1.83","$0.402","13.83","30,224","$0.035","487","266","$19.059","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","$0.967","$0.009","$0.017","$0.021","","","","","","","","$1.291","$0.048","43.59","$0.138","393.82","860,498","$0.011","14,646","336","$0.261","1.52","$0.423","20.64","45,103","$0.021","543","357","$13.694","1.92","$0.406","14.06","30,726","$0.034","502","262","$17.915","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","$0.978","$0.011","$0.016","$0.028","","","","","","","","$1.224","$0.055","53.63","$0.14","401.9","878,142","$0.014","17,644","329","$0.269","1.56","$0.426","20.89","45,638","$0.019","535","344","$12.358","2.42","$0.411","14.4","31,473","$0.038","747","309","$15.802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51","$0.986","$0.008","$0.014","$0.022","","","","","","","","$1.437","$0.045","36.91","$0.142","407.32","889,989","$0.01","11,847","321","$0.282","1.41","$0.429","21.1","46,109","$0.018","471","333","$12.463","1.93","$0.416","14.65","32,016","$0.033","543","282","$17.083","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","$0.994","$0.007","$0.015","$0.024","","","","","","","","$1.649","$0.045","32","$0.143","411.96","900,132","$0.009","10,143","317","$0.276","1.38","$0.432","21.31","46,564","$0.018","455","329","$12.861","1.8","$0.42","14.86","32,460","$0.039","444","246","$21.511","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","$1.007","$0.012","$0.018","$0.041","","","","","","","","$1.356","$0.072","62.45","$0.145","420.76","919,367","$0.015","19,235","308","$0.247","1.78","$0.435","21.57","47,141","$0.022","577","325","$12.383","2.54","$0.427","15.22","33,254","$0.051","794","313","$20.203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","$1.015","$0.006","$0.015","$0.024","","","","","","","","$1.631","$0.045","33.1","$0.146","425.08","928,801","$0.008","9,434","285","$0.247","1.41","$0.437","21.77","47,570","$0.019","429","305","$13.294","1.92","$0.431","15.43","33,718","$0.036","464","242","$18.981","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55","$1.021","$0.009","$0.015","$0.012","","","","","","","","$1.105","$0.036","39.79","$0.148","430.14","939,862","$0.011","11,061","278","$0.285","1.35","$0.44","21.95","47,956","$0.019","386","285","$14.189","1.63","$0.433","15.54","33,962","$0.029","244","150","$17.593","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","$1.033","$0.01","$0.019","$0.046","","","","","","","","$1.97","$0.074","45.27","$0.149","435.76","952,131","$0.013","12,269","271","$0.281","1.57","$0.443","22.16","48,417","$0.023","461","294","$14.792","2.47","$0.441","15.88","34,687","$0.055","725","293","$22.396","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","$1.041","$0.008","$0.015","$0.028","","","","","","","","$1.542","$0.051","39.13","$0.151","440.57","962,656","$0.01","10,525","269","$0.264","1.53","$0.445","22.35","48,838","$0.019","421","275","$12.614","1.87","$0.445","16.09","35,165","$0.037","478","256","$19.947","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58","$1.05","$0.007","$0.015","$0.033","","","","","","","","$1.734","$0.055","38.52","$0.152","445.09","972,517","$0.01","9,861","256","$0.249","1.46","$0.448","22.53","49,228","$0.019","390","268","$12.925","2.3","$0.45","16.29","35,586","$0.06","421","183","$26.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59","$1.057","$0.008","$0.016","$0.027","","","","","","","","$1.458","$0.052","41.82","$0.153","449.99","983,223","$0.01","10,706","256","$0.247","1.53","$0.45","22.72","49,634","$0.02","406","266","$13.185","2.22","$0.454","16.53","36,111","$0.038","525","236","$17.078","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
