"Level","Remain Rate","Abandonment Rate","Play Time","Win Time","Lose Time","Ad Duration","Win Ad Duration","Lose Ad Duration","Level Start Users","Level Start per User","Continuation rate","Completion rate"
"49","19.5%","0.94%","10m 11s","10m 40s","5m 2s","","","","426","1.33","100.24%","98.83%"
"50","19.31%","1.66%","13m 18s","14m 3s","7m 9s","","","","422","1.4","99.76%","98.58%"
"51","18.99%","3.13%","9m 59s","10m 21s","5m 35s","","","","415","1.38","99.75%","97.11%"
"52","18.4%","2.99%","8m 51s","9m 5s","4m 56s","","","","402","1.24","98.98%","98.01%"
"53","17.85%","4.1%","13m 51s","16m 8s","5m 45s","","","","390","1.62","99.47%","96.41%"
"54","17.12%","2.94%","9m 25s","9m 39s","6m 38s","","","","374","1.32","99.73%","97.33%"
"55","16.61%","1.93%","10m 2s","10m 11s","5m 29s","","","","363","1.18","99.44%","98.62%"
"56","16.29%","2.81%","10m 42s","11m 46s","6m 54s","","","","356","1.61","100%","97.19%"
"57","15.84%","3.47%","10m 34s","11m 13s","5m 4s","","","","346","1.39","99.7%","96.82%"
"58","15.29%","1.8%","9m 50s","9m 58s","8m 14s","","","","334","1.3","99.39%","98.8%"
"59","15.01%","1.22%","10m 52s","11m 30s","6m 8s","","","","328","1.41","99.69%","99.09%"
"60","14.83%","2.78%","16m 37s","18m 38s","8m 29s","","","","324","1.74","99.37%","97.84%"
"61","14.42%","1.59%","10m 14s","11m 44s","5m 33s","","","","315","1.62","100.32%","98.1%"
"62","14.19%","2.58%","10m 43s","11m 4s","6m 4s","","","","310","1.27","100%","97.42%"
"63","13.82%","3.64%","10m 28s","10m 40s","7m 53s","","","","302","1.27","100%","96.36%"
"64","13.32%","3.78%","16m 23s","17m 59s","10m 37s","","","","291","1.58","100%","96.22%"
"65","12.81%","2.5%","11m 52s","12m 29s","6m 31s","","","","280","1.41","99.27%","98.21%"
"66","12.49%","1.1%","8m 44s","9m 0s","4m 36s","","","","273","1.27","100%","98.9%"
"67","12.36%","1.48%","8m 16s","8m 21s","3m 40s","","","","270","1.14","100.76%","97.78%"
"68","12.17%","1.13%","9m 49s","9m 54s","4m 52s","","","","266","1.18","99.25%","99.62%"
"69","12.04%","1.14%","10m 36s","10m 42s","6m 41s","","","","263","1.15","100%","98.86%"
"70","11.9%","0.77%","12m 16s","12m 43s","5m 52s","","","","260","1.27","100%","99.23%"
"71","11.81%","1.55%","8m 34s","8m 46s","3m 19s","","","","258","1.23","100.4%","98.06%"
"72","11.62%","2.76%","10m 26s","11m 10s","6m 53s","","","","254","1.5","100%","97.24%"
"73","11.3%","3.24%","10m 44s","11m 21s","6m 16s","","","","247","1.39","99.17%","97.57%"
"74","10.94%","","9m 55s","9m 53s","11m 52s","","","","239","1.19","99.58%","100.42%"
"75","10.94%","2.51%","13m 5s","14m 32s","7m 11s","","","","239","1.56","100%","97.49%"
"76","10.66%","1.29%","8m 47s","8m 30s","16m 51s","","","","233","1.24","99.57%","99.14%"
"77","10.53%","1.3%","9m 41s","10m 3s","4m 15s","","","","230","1.23","99.56%","99.13%"
"78","10.39%","1.76%","12m 36s","12m 59s","8m 43s","","","","227","1.29","100%","98.24%"
"79","10.21%","4.48%","12m 36s","14m 47s","6m 14s","","","","223","1.72","99.53%","95.96%"
"80","9.75%","0.94%","12m 9s","12m 58s","5m 54s","","","","213","1.32","100%","99.06%"
"81","9.66%","2.84%","11m 32s","12m 29s","4m 34s","","","","211","1.43","98.56%","98.58%"
"82","9.38%","0.49%","10m 57s","11m 10s","6m 59s","","","","205","1.26","101.49%","98.05%"
"83","9.34%","1.47%","9m 22s","9m 38s","4m 48s","","","","204","1.2","100.5%","98.04%"
"84","9.2%","0.5%","6m 50s","6m 52s","5m 32s","","","","201","1.12","100%","99.5%"
"85","9.15%","","8m 45s","8m 46s","6m 56s","","","","200","1.11","101.01%","99.5%"
"86","9.2%","","7m 36s","7m 35s","8m 20s","","","","201","1.13","100.5%","99.5%"
"87","9.2%","1%","11m 36s","12m 3s","5m 25s","","","","201","1.34","99.5%","99.5%"
"88","9.11%","0.5%","10m 51s","10m 50s","11m 7s","","","","199","1.24","100.51%","98.99%"
"89","9.06%","2.02%","11m 17s","11m 17s","12m ","","","","198","1.14","100%","97.98%"
"90","8.88%","","12m 56s","13m 13s","10m 2s","","","","194","1.31","100.52%","99.48%"
"91","8.88%","1.03%","11m 58s","12m 7s","9m 7s","","","","194","1.3","100%","98.97%"
"92","8.79%","0.52%","7m 57s","8m 6s","4m 37s","","","","192","1.22","100%","99.48%"
"93","8.74%","1.05%","10m 59s","11m 17s","6m 9s","","","","191","1.2","99.47%","99.48%"
"94","8.65%","0.53%","8m 45s","8m 41s","12m 52s","","","","189","1.1","100%","99.47%"
"95","8.6%","0.53%","12m 55s","13m 13s","11m 1s","","","","188","1.38","99.47%","100%"
"96","8.56%","1.07%","8m 47s","9m 8s","5m ","","","","187","1.27","100%","98.93%"
"97","8.47%","1.62%","11m 21s","11m 34s","8m 1s","","","","185","1.26","99.45%","98.92%"
"98","8.33%","","10m 2s","10m 2s","10m 32s","","","","182","1.13","100.55%","99.45%"
"99","8.33%","2.2%","13m 40s","13m 48s","9m 1s","","","","182","1.21","98.34%","99.45%"
"100","8.15%","","12m 20s","12m 22s","11m 25s","","","","178","1.23","97.73%","98.88%"
